Designator,Mid X,Mid Y,Rotation,Layer
ANT1,115.47,-72.19,0.0,top
C1,116.89,-76.57,0.0,top
C10,112.76,-76.74,0.0,top
C11,105.57,-73.88,270.0,top
C12,104.33,-74.425,270.0,top
C13,102.83,-76.41,180.0,top
C16,112.94,-87.85,0.0,top
C19,113.49,-81.51,90.0,top
C2,108.55,-82.69,0.0,top
C20,111.82,-82.51,180.0,top
C3,116.86,-80.45,180.0,top
C4,103.28,-78.37,180.0,top
C5,106.6,-82.68,180.0,top
C6,110.750589,-75.160589,315.0,top
C7,112.04,-72.47,135.0,top
C8,112.74,-77.67,0.0,top
C9,108.41,-73.84,270.0,top
D1,105.5775,-89.41,180.0,top
D2,112.9325,-89.28,180.0,top
D3,102.425,-80.31,0.0,top
J1,106.04,-86.57,180.0,bottom
J2,99.52,-74.07,0.0,top
J3,99.64,-71.53,90.0,top
J4,116.44,-83.31,0.0,top
J5,116.43,-88.36,270.0,top
L1,111.342947,-73.787053,45.0,top
L2,107.015,-73.98,180.0,top
R1,102.52,-82.4,0.0,top
R2,109.02,-82.47,180.0,bottom
R3,103.75,-82.49,0.0,bottom
R4,103.44,-89.39,180.0,top
R5,102.63,-74.68,270.0,top
R6,103.3,-77.41,180.0,top
SW1,104.25,-86.04,90.0,top
SW2,107.69,-86.05,270.0,top
U1,108.7,-79.0725,270.0,top
U3,112.91,-85.06,90.0,top
Y1,116.51,-78.51,270.0,top
