Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ANT3216LL00R2400A,1,ANT3216LL00R2400A,
"C1, C3",0402,2,10 pF,
"C10, C13, C2, C20",0402,4,1 uF,
"C11, C18, C4, C5, C9",0402,5,0.1 uF,
"C12, C16, C19",0603,3,10 uF,
"C14, C17",0603,2,4.7 uF,
"C15, C8",0402,2,10 nF,
C6,0402,1,4.7 pF,
C7,0402,1,3.3 pF,
"D1, D5",0402,2,LED,
"D2, D4",D_SOD-523,2,1N4148WT,
D3,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B,
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_02x04_Top_Bottom,
J3,PinHeader_1x07_P2.54mm_Vertical,1,Conn_02x04_Top_Bottom,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,SolderJumper_2_Open,
"L1, L2",0402,2,2 nH,
L3,1008,1,22 uH,
Q1,SOT-23,1,BC847,
"R1, R2_2, R5, R6",0402,4,10K,
"R10, R12",0402,2,6.12M,
R11,0402,1,5.62M,
R13,0402,1,542K,
"R14, R8",0402,2,4.42M,
R15,0402,1,5.90M,
R16,0402,1,9.76M,
R17,0402,1,4K7,
"R2, R3",0402,2,5k1,
R4,0402,1,1K,
R7,0402,1,3.32M,
R9,0402,1,3.83M,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,B,
SW2,SW_Push_1P1T_NO_CK_KMR2,1,R,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,ESP32-C3,
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,1,BQ25504,
U3,SOT-23-5,1,SPX3819M5-L-3-3,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40 Mhz,
