Designator,Mid X,Mid Y,Rotation,Layer
ANT1,121.61,-71.63,0.0,top
C1,123.57,-77.96,0.0,top
C10,120.11,-77.33,0.0,top
C11,113.7,-74.27,270.0,top
C12,112.52,-74.845,270.0,top
C13,110.49,-75.39,90.0,top
C14,107.03,-93.515,90.0,top
C15,110.08,-93.01,270.0,top
C16,116.485,-85.05,0.0,top
C17,104.805,-90.33,180.0,top
C18,104.53,-89.13,180.0,top
C19,109.93,-83.25,90.0,top
C2,115.91,-83.68,0.0,top
C20,111.11,-83.84,90.0,top
C3,123.6,-81.7,180.0,top
C4,112.48,-78.66,90.0,top
C5,112.63,-82.86,180.0,top
C6,118.31,-76.25,0.0,top
C7,117.44,-73.38,180.0,top
C8,120.11,-78.28,0.0,top
C9,116.54,-74.79,270.0,top
D1,122.9,-88.995,270.0,top
D2,123.37,-90.82,180.0,top
D3,106.905,-81.7,180.0,top
D4,104.12,-87.3825,270.0,top
D5,106.395,-83.91,180.0,top
J1,116.83,-91.45,0.0,top
J2,101.62,-74.1,0.0,top
J3,101.62,-71.56,90.0,top
J4,123.65,-83.96,0.0,top
J5,123.39,-93.32,270.0,top
J6,101.63,-85.77,0.0,top
L1,117.88,-74.785,90.0,top
L2,115.1,-74.93,180.0,top
L3,104.95,-93.045,90.0,top
Q1,106.6875,-86.08,180.0,top
R1,103.92,-81.17,270.0,top
R10,109.54,-87.29,180.0,top
R11,111.03,-89.69,270.0,top
R12,111.08,-87.77,270.0,top
R13,110.65,-86.29,180.0,top
R14,108.71,-92.53,0.0,top
R15,109.59,-94.42,0.0,top
R16,111.02,-93.51,90.0,top
R17,108.26,-83.91,180.0,top
R2_2,110.68,-78.8,90.0,top
R2,115.6,-86.92,270.0,top
R3,119.12,-87.35,180.0,top
R4,124.05,-89.0,90.0,top
R5,109.97,-73.86,0.0,top
R6,109.55,-75.41,90.0,top
R7,109.1,-85.7,90.0,top
R8,111.05,-91.6,270.0,top
R9,110.53,-85.23,180.0,top
SW1,106.22,-78.45,180.0,top
SW2,106.23,-75.17,180.0,top
U1,116.07,-79.99,270.0,top
U2,108.42,-89.9075,90.0,top
U3,113.28,-85.5375,90.0,top
Y1,123.52,-79.86,270.0,top
