Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,Johanson_2450AT18x100,1,ANT3216LL00R2400A,
"C1, C14, C15, C19, C2, C27",0402,6,10uF,
"C10, C11",0402,2,1.2pF,
C12,0402,1,1nF,
"C13, C16, C18, C29",0402,4,1uF,
"C17, C22, C23, C26, C28",0402,5,0.1uF,
C20,0402,1,0.3pF,
C21,0402,1,0.8pF,
C24,0402,1,2.6pF,
C25,0402,1,3.0pF,
C3,0402,1,15pF,
C31,0402,1,10nF,
"C4, C5",0402,2,10pF,
"C6, C7",0402,2,1pF,
"C8, C9",0402,2,2.2pF,
"D2, D4, D5",0402,3,LED,
D6,D_SOD-523,1,SS34,
D7,LED_SK6812_EC15_1.5x1.5mm,1,SK6805,
FL1,LFD182G45DCHD277,1,LFD182G45DCHD277,
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,
J3,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09,
J4,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
"J6, J7",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
J8,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
L1,0402,1,24nH,
"L2, L3, L4",0402,3,2.8nH,
L5,0402,1,2.0nH,
Q1,SOT-23,1,DMG1045U,
Q2,SOT-23,1,Si2301CDS,
Q3,SOT-23,1,2N7002,
"R1, R2, R7, R8, R9",0402,5,5K1,
"R10, R13, R14, R15, R16, R5, R6",0402,7,10K,
R11,0402,1,1k,
R12,0402,1,1k2,
R17,0402,1,100K,
R18,0402,1,499,
"R3, R4",0402,2,22,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,Boot,
SW2,SW_Push_1P1T_NO_CK_KMR2,1,Reset,
U1,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm,1,ESP32-C5,
U2,SOT-23-6,1,USBLC6-2SC6,
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,TP4056,
U5,SOT-23-6,1,FS8205A,
U6,SOT-23-6,1,DW01,
U7,SOT-23-5,1,XC6220B331MR,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24,
