Designator,Mid X,Mid Y,Rotation,Layer
ANT1,149.6,-67.75,0.0,top
C1,140.9,-84.02,270.0,top
C10,144.0,-68.22,90.0,top
C11,146.8,-67.27,270.0,top
C12,129.695,-80.7,180.0,top
C13,124.43,-85.2,0.0,top
C14,144.505,-84.95,0.0,top
C15,143.205,-76.125,180.0,top
C16,131.36,-66.1,90.0,top
C17,148.325,-85.795,90.0,top
C18,130.385,-66.1,90.0,top
C19,138.37,-67.2,180.0,top
C2,138.3,-79.4,0.0,top
C20,136.52,-68.75,0.0,top
C21,136.52,-67.8,0.0,top
C22,127.53,-76.35,180.0,top
C23,138.75,-74.7,0.0,top
C24,140.5,-75.16,270.0,top
C25,145.25,-74.3,90.0,top
C26,144.3,-74.3,90.0,top
C27,143.35,-74.3,90.0,top
C28,140.15,-73.15,90.0,top
C29,138.5,-70.7,90.0,top
C3,124.475,-82.35,180.0,top
C31,141.15,-73.15,90.0,top
C4,133.55,-65.145,270.0,top
C5,137.55,-65.795,270.0,top
C6,138.1,-68.62,270.0,top
C7,140.9,-69.5,90.0,top
C8,139.9,-71.16,270.0,top
C9,142.7,-72.07,90.0,top
D2,136.65,-81.965,90.0,top
D4,146.875,-87.635,270.0,top
D5,145.925,-87.6175,270.0,top
D6,142.55,-90.45,270.0,top
D7,139.525,-77.325,90.0,top
FL1,142.45,-68.9,180.0,top
J1,136.42,-88.575,0.0,top
J3,121.75,-74.51,0.0,top
J4,133.19,-61.8,90.0,top
J6,150.25,-86.43,0.0,top
J7,128.3,-88.45,0.0,bottom
J8,147.71,-90.25,270.0,top
L1,133.085,-66.525,180.0,top
L2,141.3,-71.63,180.0,top
L3,139.485,-69.05,180.0,top
L4,145.385,-67.75,0.0,top
L5,141.935,-74.73,0.0,top
Q1,143.6,-87.15,270.0,top
Q2,130.75,-82.9,270.0,top
Q3,127.25,-82.9,270.0,top
R1,138.69,-84.5,180.0,top
R10,145.9,-76.075,0.0,top
R11,149.61,-76.0,0.0,top
R12,148.325,-87.685,270.0,top
R13,142.65,-84.95,0.0,top
R14,127.785,-80.7,180.0,top
R15,131.565,-80.675,180.0,top
R16,129.685,-79.725,0.0,top
R17,125.875,-80.675,180.0,top
R18,125.110624,-70.910624,135.0,top
R2,134.64,-84.5,0.0,top
R3,135.25,-79.125,0.0,top
R4,133.365,-79.125,180.0,top
R5,124.45,-83.3,180.0,top
R6,124.45,-84.275,180.0,top
R7,136.65,-80.09,270.0,top
R8,146.875,-85.725,270.0,top
R9,145.925,-85.715,270.0,top
SW1,128.35,-86.6,0.0,top
SW2,128.35,-90.2,0.0,top
U1,133.845,-73.3,0.0,top
U2,134.45,-81.6375,90.0,top
U4,144.75,-80.28,180.0,top
U5,149.6625,-81.675,0.0,top
U6,149.6625,-78.25,180.0,top
U7,138.9,-81.9625,270.0,top
Y1,135.55,-65.675,0.0,top
